"Date","Price","Open","High","Low","Vol.","Change %"
"06/20/2023","70.39","71.35","72.35","69.92","259.31K","-1.29%"
"06/19/2023","71.31","71.47","72.26","70.83","100.47K","-0.24%"
"06/18/2023","71.48","71.65","71.71","71.41","2.40K","-0.63%"
"06/16/2023","71.93","70.81","72.03","70.18","297.84K","1.58%"
"06/15/2023","70.81","68.92","71.15","68.14","262.83K","3.43%"
"06/14/2023","68.46","69.51","70.64","68.26","212.22K","-1.61%"
"06/13/2023","69.58","67.45","69.97","67.31","253.16K","3.40%"
"06/12/2023","67.29","70.42","70.49","66.96","223.62K","-4.32%"
"06/09/2023","70.33","71.11","71.93","70.26","160.29K","-1.55%"
"06/08/2023","71.44","72.57","73.37","69.21","236.21K","-1.65%"
"06/07/2023","72.64","71.70","73.29","71.14","109.56K","1.10%"
"06/06/2023","71.85","72.09","72.42","70.29","118.29K","-0.57%"
"06/05/2023","72.26","75.10","75.70","71.85","148.98K","0.58%"
"06/02/2023","71.84","70.25","72.24","70.10","110.94K","2.34%"
"06/01/2023","70.20","67.81","71.14","67.67","135.27K","2.87%"
"05/31/2023","68.24","69.67","69.81","67.21","157.34K","-1.95%"
"05/30/2023","69.60","73.22","73.62","69.16","117.50K","-4.55%"
"05/29/2023","72.92","73.28","73.60","72.12","12.25K","-0.49%"
"05/28/2023","73.28","73.32","73.52","73.15","0.95K","0.71%"
"05/26/2023","72.76","71.99","73.12","71.59","77.58K","1.15%"
"05/25/2023","71.93","74.18","74.34","71.03","154.73K","-3.18%"
"05/24/2023","74.29","73.68","74.65","73.09","121.83K","1.98%"
"05/23/2023","72.85","72.00","73.72","71.63","92.34K","1.11%"
"05/22/2023","72.05","71.87","72.53","70.67","263.98K","0.50%"
"05/19/2023","71.69","72.06","73.58","71.18","312.43K","-0.35%"
"05/18/2023","71.94","72.82","72.97","71.52","239.92K","-1.30%"
"05/17/2023","72.89","70.60","73.30","70.05","219.09K","2.89%"
"05/16/2023","70.84","71.28","71.76","70.44","153.07K","-0.35%"
"05/15/2023","71.09","70.02","71.67","69.39","159.52K","1.53%"
"05/12/2023","70.02","71.47","71.74","69.93","115.90K","-1.21%"
"05/11/2023","70.88","72.54","73.47","70.65","172.29K","-2.26%"
"05/10/2023","72.52","73.48","73.81","71.78","172.14K","-1.49%"
"05/09/2023","73.62","72.72","73.69","71.28","135.29K","0.75%"
"05/08/2023","73.07","71.27","73.56","70.96","125.43K","2.53%"
"05/05/2023","71.27","68.63","71.72","68.46","115.12K","4.03%"
"05/04/2023","68.51","68.27","69.76","63.90","160.32K","-0.06%"
"05/03/2023","68.55","71.43","71.67","67.90","188.01K","-4.19%"
"05/02/2023","71.55","75.55","75.96","71.32","152.45K","-5.24%"
"05/01/2023","75.51","76.47","76.49","74.40","64.06K","-1.44%"
"04/28/2023","76.61","74.71","76.74","73.80","111.02K","2.72%"
"04/27/2023","74.58","74.30","75.12","73.88","125.42K","0.53%"
"04/26/2023","74.19","76.93","77.70","73.94","180.08K","-3.49%"
"04/25/2023","76.87","78.55","78.90","76.33","134.66K","-2.20%"
"04/24/2023","78.60","77.82","79.00","76.57","103.04K","1.15%"
"04/21/2023","77.71","76.85","78.14","76.49","109.19K","0.44%"
"04/20/2023","77.37","79.03","79.07","76.97","361.41K","-2.36%"
"04/19/2023","79.24","80.96","81.24","78.53","350.78K","-2.05%"
"04/18/2023","80.90","81.00","81.52","79.91","311.78K","0.09%"
"04/17/2023","80.83","82.42","82.62","80.46","229.97K","-1.94%"
"04/14/2023","82.43","82.30","82.99","81.64","205.48K","0.48%"
"04/13/2023","82.04","83.07","83.27","82.00","155.56K","-1.26%"
"04/12/2023","83.09","81.38","83.38","81.21","220.62K","1.96%"
"04/11/2023","81.49","79.87","81.55","79.40","158.75K","2.16%"
"04/10/2023","79.77","80.50","81.19","79.65","120.66K","-1.13%"
"04/06/2023","80.68","80.45","80.97","79.69","103.59K","0.06%"
"04/05/2023","80.63","81.01","81.25","79.75","109.75K","-0.11%"
"04/04/2023","80.72","80.49","81.81","79.64","148.22K","0.35%"
"04/03/2023","80.44","80.60","81.77","79.04","287.98K","6.12%"
"03/31/2023","75.80","74.44","75.83","73.89","125.24K","1.76%"
"03/30/2023","74.49","73.07","74.72","72.76","99.83K","1.87%"
"03/29/2023","73.12","73.74","74.48","72.92","133.99K","-0.30%"
"03/28/2023","73.34","72.93","74.04","72.33","138.51K","0.56%"
"03/27/2023","72.93","69.75","73.20","69.27","125.01K","5.07%"
"03/24/2023","69.41","69.67","70.53","67.02","153.65K","-1.01%"
"03/23/2023","70.12","70.07","71.79","69.30","166.52K","-1.27%"
"03/22/2023","71.02","69.57","71.43","69.03","148.11K","1.94%"
"03/21/2023","69.67","67.83","69.77","66.90","409.50K","2.73%"
"03/20/2023","67.82","66.90","67.90","64.36","418.54K","1.33%"
"03/17/2023","66.93","68.47","69.83","65.38","482.49K","-2.32%"
"03/16/2023","68.52","68.38","69.53","65.89","251.50K","1.15%"
"03/15/2023","67.74","71.69","72.71","65.79","356.42K","-5.25%"
"03/14/2023","71.49","74.77","75.02","70.94","216.69K","-4.57%"
"03/13/2023","74.91","76.77","77.56","72.44","167.40K","-2.44%"
"03/10/2023","76.78","75.78","77.20","74.92","143.19K","1.24%"
"03/09/2023","75.84","76.65","78.17","75.57","147.72K","-1.26%"
"03/08/2023","76.81","77.36","77.88","76.26","136.03K","-1.17%"
"03/07/2023","77.72","80.59","81.04","77.18","163.00K","-3.53%"
"03/06/2023","80.56","80.04","80.72","78.44","80.13K","0.97%"
"03/03/2023","79.79","78.02","80.00","76.00","99.09K","1.89%"
"03/02/2023","78.31","77.90","78.72","77.39","61.37K","0.62%"
"03/01/2023","77.83","76.93","78.00","76.30","104.50K","0.83%"
"02/28/2023","77.19","75.87","77.93","75.68","88.93K","1.82%"
"02/27/2023","75.81","76.61","76.95","75.14","79.74K","-0.86%"
"02/24/2023","76.47","75.85","76.75","74.30","101.33K","1.15%"
"02/23/2023","75.60","74.19","76.17","74.07","99.17K","1.90%"
"02/22/2023","74.19","76.29","76.72","74.05","98.82K","-2.84%"
"02/21/2023","76.36","76.64","77.74","75.90","402.35K","-1.22%"
"02/20/2023","77.30","76.68","77.73","76.31","91.53K","0.82%"
"02/19/2023","76.67","76.68","76.81","76.54","1.67K","0.16%"
"02/17/2023","76.55","78.35","78.50","75.32","343.63K","-2.78%"
"02/16/2023","78.74","78.68","79.76","78.18","204.09K","-0.11%"
"02/15/2023","78.83","79.04","79.37","77.47","150.59K","-0.52%"
"02/14/2023","79.24","79.50","79.84","77.71","192.27K","-1.36%"
"02/13/2023","80.33","80.05","80.78","78.67","155.59K","0.51%"
"02/10/2023","79.92","77.81","80.50","77.68","151.98K","2.11%"
"02/09/2023","78.27","78.69","79.04","76.76","132.72K","-0.53%"
"02/08/2023","78.69","77.70","78.78","77.32","155.18K","1.68%"
"02/07/2023","77.39","74.83","77.82","74.71","186.67K","3.92%"
"02/06/2023","74.47","73.64","74.87","72.64","120.92K","0.99%"
"02/03/2023","73.74","76.25","78.28","73.47","126.22K","-3.23%"
"02/02/2023","76.20","77.06","77.54","75.30","94.84K","-0.69%"
"02/01/2023","76.73","79.35","80.01","76.37","113.87K","-3.08%"
"01/31/2023","79.17","78.19","79.53","76.85","88.38K","1.27%"
"01/30/2023","78.18","80.12","80.78","77.96","101.70K","-2.23%"
"01/27/2023","79.96","81.44","82.69","79.32","123.92K","-1.62%"
"01/26/2023","81.28","80.44","82.38","80.21","98.18K","1.04%"
"01/25/2023","80.44","80.44","81.50","79.77","101.06K","0.00%"
"01/24/2023","80.44","81.94","82.51","79.98","93.04K","-1.82%"
"01/23/2023","81.93","82.12","82.89","81.32","104.29K","0.36%"
"01/20/2023","81.64","80.84","81.91","79.91","300.15K","1.28%"
"01/19/2023","80.61","79.43","81.49","78.45","321.13K","1.02%"
"01/18/2023","79.80","81.34","82.66","79.21","326.23K","-0.81%"
"01/17/2023","80.45","80.34","81.51","78.80","267.91K","1.81%"
"01/16/2023","79.02","80.07","80.20","78.82","36.78K","-1.26%"
"01/15/2023","80.03","80.34","80.47","80.03","0.76K","-0.10%"
"01/13/2023","80.11","78.58","80.37","78.23","189.32K","1.86%"
"01/12/2023","78.65","77.90","79.37","77.35","188.06K","1.25%"
"01/11/2023","77.68","75.06","78.06","74.56","179.83K","3.06%"
"01/10/2023","75.37","75.16","76.16","74.16","164.98K","0.60%"
"01/09/2023","74.92","73.87","76.97","73.79","154.20K","1.19%"
"01/06/2023","74.04","74.18","75.71","73.52","89.51K","0.16%"
"01/05/2023","73.92","73.51","75.15","72.74","112.45K","1.12%"
"01/04/2023","73.10","77.41","77.62","73.01","149.77K","-5.21%"
"01/03/2023","77.12","80.66","81.62","76.81","139.84K","-4.28%"
"01/02/2023","80.57","80.58","80.89","80.33","0.87K","-0.01%"
"01/01/2023","80.58","80.58","80.58","80.58","","0.16%"
"12/30/2022","80.45","78.75","80.81","77.85","72.81K","2.48%"
"12/29/2022","78.50","79.01","79.01","76.94","53.32K","-0.73%"
"12/28/2022","79.08","80.02","80.02","77.45","62.68K","-0.70%"
"12/27/2022","79.64","79.99","81.21","79.28","67.69K","-1.73%"
"12/26/2022","81.04","79.43","81.13","79.43","2.40K","2.03%"
"12/25/2022","79.43","79.43","79.43","79.43","","-0.26%"
"12/23/2022","79.64","78.14","80.19","77.87","79.46K","2.87%"
"12/22/2022","77.42","78.28","79.77","77.01","62.70K","-1.05%"
"12/21/2022","78.24","76.00","78.56","75.81","65.19K","2.64%"
"12/20/2022","76.23","75.77","76.96","74.46","254.79K","1.13%"
"12/19/2022","75.38","74.62","76.64","74.03","257.46K","1.24%"
"12/16/2022","74.46","76.33","76.58","73.40","271.86K","-2.22%"
"12/15/2022","76.15","77.40","77.83","75.41","188.50K","-1.50%"
"12/14/2022","77.31","75.22","77.76","74.96","185.52K","2.48%"
"12/13/2022","75.44","73.43","76.30","73.33","190.74K","2.95%"
"12/12/2022","73.28","72.02","74.00","70.48","148.97K","2.91%"
"12/09/2022","71.21","71.92","73.00","70.31","146.59K","-0.52%"
"12/08/2022","71.58","72.65","75.19","71.27","245.39K","-0.97%"
"12/07/2022","72.28","74.73","75.53","72.06","148.54K","-2.93%"
"12/06/2022","74.46","77.46","78.05","73.62","120.67K","-3.40%"
"12/05/2022","77.08","80.03","82.75","76.92","105.02K","-3.71%"
"12/02/2022","80.05","81.35","82.12","79.73","96.43K","-1.34%"
"12/01/2022","81.14","80.61","83.27","80.07","116.20K","0.60%"
"11/30/2022","80.66","78.98","81.41","78.48","90.29K","3.04%"
"11/29/2022","78.28","76.66","79.73","76.40","109.11K","1.23%"
"11/28/2022","77.33","76.19","77.89","73.77","132.62K","1.18%"
"11/25/2022","76.43","77.57","79.92","76.37","59.52K","-2.09%"
"11/24/2022","78.06","77.68","78.32","77.05","19.33K","-0.01%"
"11/23/2022","78.07","80.86","81.70","76.95","120.39K","-3.29%"
"11/22/2022","80.73","80.14","82.03","79.74","85.20K","0.86%"
"11/21/2022","80.04","80.26","80.50","75.27","475.10K","-0.09%"
"11/18/2022","80.11","81.86","82.43","77.59","480.54K","-1.58%"
"11/17/2022","81.40","84.98","84.98","81.19","390.06K","-4.24%"
"11/16/2022","85.00","86.23","86.90","83.67","191.29K","-1.45%"
"11/15/2022","86.25","84.62","88.05","83.54","239.60K","1.28%"
"11/14/2022","85.16","88.24","89.03","84.51","183.53K","-3.40%"
"11/11/2022","88.16","85.40","89.20","85.36","154.79K","2.92%"
"11/10/2022","85.66","84.96","86.49","83.90","160.49K","0.78%"
"11/09/2022","85.00","87.73","88.26","84.69","200.28K","-3.41%"
"11/08/2022","88.00","90.82","91.10","87.63","162.91K","-3.01%"
"11/07/2022","90.73","90.50","92.53","89.31","143.34K","-0.79%"
"11/04/2022","91.45","86.92","91.67","86.84","104.87K","4.90%"
"11/03/2022","87.18","88.32","88.53","86.55","80.43K","-1.89%"
"11/02/2022","88.86","87.42","89.14","86.60","86.74K","1.92%"
"11/01/2022","87.19","85.20","88.27","84.85","81.92K","2.10%"
"10/31/2022","85.40","87.06","87.36","84.16","81.40K","-1.40%"
"10/28/2022","86.61","87.41","87.51","85.86","78.71K","-1.39%"
"10/27/2022","87.83","87.06","88.45","86.12","110.53K","1.33%"
"10/26/2022","86.68","84.03","87.17","83.17","80.03K","2.81%"
"10/25/2022","84.31","83.93","85.00","82.14","77.80K","0.86%"
"10/24/2022","83.59","84.05","84.80","81.61","58.38K","-0.43%"
"10/21/2022","83.95","83.78","84.64","82.05","83.09K","-0.66%"
"10/20/2022","84.51","84.91","87.14","84.16","338.34K","-0.01%"
"10/19/2022","84.52","82.91","85.02","81.72","357.72K","2.99%"
"10/18/2022","82.07","84.80","85.53","81.30","367.50K","-2.91%"
"10/17/2022","84.53","84.63","86.18","83.70","174.19K","-0.14%"
"10/14/2022","84.65","88.15","88.52","84.22","161.13K","-3.75%"
"10/13/2022","87.95","86.01","88.38","84.43","185.66K","2.20%"
"10/12/2022","86.06","87.25","88.66","85.05","211.34K","-2.17%"
"10/11/2022","87.97","89.75","90.15","86.59","187.52K","-2.08%"
"10/10/2022","89.84","92.23","92.34","89.29","156.09K","-1.65%"
"10/07/2022","91.35","88.12","92.00","87.15","242.27K","4.29%"
"10/06/2022","87.59","87.12","88.20","86.15","108.49K","0.86%"
"10/05/2022","86.84","85.30","87.42","84.53","160.03K","1.57%"
"10/04/2022","85.50","82.57","85.98","82.33","156.00K","3.39%"
"10/03/2022","82.70","80.29","83.61","80.19","135.99K","5.06%"
"09/30/2022","78.72","80.86","81.72","78.36","95.34K","-2.11%"
"09/29/2022","80.42","81.00","81.99","79.45","127.46K","-1.01%"
"09/28/2022","81.24","77.38","81.40","75.84","156.31K","4.41%"
"09/27/2022","77.81","75.90","78.92","75.88","123.82K","2.14%"
"09/26/2022","76.18","78.75","79.76","75.70","106.23K","-2.65%"
"09/23/2022","78.25","83.15","83.45","77.64","143.23K","-5.76%"
"09/22/2022","83.03","82.54","85.44","81.89","121.08K","0.73%"
"09/21/2022","82.43","83.60","85.99","82.00","144.13K","-1.80%"
"09/20/2022","83.94","85.02","86.12","83.01","279.81K","-1.66%"
"09/19/2022","85.36","84.81","85.88","81.73","262.90K","0.71%"
"09/16/2022","84.76","84.66","86.18","83.86","231.14K","0.13%"
"09/15/2022","84.65","88.70","88.70","84.09","182.29K","-3.86%"
"09/14/2022","88.05","87.24","89.63","85.75","208.02K","1.34%"
