"Date","Price","Open","High","Low","Vol.","Change %"
"06/18/2023","71.05","71.65","72.35","69.78","","-1.22%"
"06/11/2023","71.93","70.42","72.03","66.96","1.25M","2.27%"
"06/04/2023","70.33","75.10","75.70","69.21","773.32K","-2.10%"
"05/28/2023","71.84","73.22","73.62","67.21","521.05K","-1.26%"
"05/21/2023","72.76","71.87","74.65","70.67","710.46K","1.49%"
"05/14/2023","71.69","70.02","73.58","69.39","1.08M","2.39%"
"05/07/2023","70.02","71.27","73.81","69.93","721.05K","-1.75%"
"04/30/2023","71.27","76.47","76.49","63.90","679.96K","-6.97%"
"04/23/2023","76.61","77.82","79.00","73.80","654.21K","-1.42%"
"04/16/2023","77.71","82.42","82.62","76.49","1.36M","-5.73%"
"04/09/2023","82.43","80.50","83.38","79.40","861.07K","2.17%"
"04/02/2023","80.68","80.60","81.81","79.04","649.54K","6.44%"
"03/26/2023","75.80","69.75","75.83","69.27","622.58K","9.21%"
"03/19/2023","69.41","66.90","71.79","64.36","1.30M","3.71%"
"03/12/2023","66.93","76.77","77.56","65.38","1.47M","-12.83%"
"03/05/2023","76.78","80.04","81.04","74.92","670.07K","-3.77%"
"02/26/2023","79.79","76.61","80.00","75.14","433.62K","4.34%"
"02/19/2023","76.47","76.64","77.74","74.05","701.67K","-0.10%"
"02/12/2023","76.55","80.05","80.78","75.32","1.05M","-4.22%"
"02/05/2023","79.92","73.64","80.50","72.64","747.47K","8.38%"
"01/29/2023","73.74","80.12","80.78","73.47","525.01K","-7.78%"
"01/22/2023","79.96","82.12","82.89","79.32","520.48K","-2.06%"
"01/15/2023","81.64","80.34","82.66","78.45","1.22M","1.91%"
"01/08/2023","80.11","73.87","80.37","73.79","876.38K","8.20%"
"01/01/2023","74.04","80.66","81.62","72.74","497.28K","-7.97%"
"12/25/2022","80.45","79.99","81.21","76.94","256.50K","1.02%"
"12/18/2022","79.64","74.62","80.19","74.03","719.61K","6.96%"
"12/11/2022","74.46","72.02","77.83","70.48","985.59K","4.56%"
"12/04/2022","71.21","80.03","82.75","70.31","766.21K","-11.04%"
"11/27/2022","80.05","76.19","83.27","73.77","544.64K","4.74%"
"11/20/2022","76.43","80.26","82.03","75.27","740.21K","-4.59%"
"11/13/2022","80.11","88.24","89.03","77.59","1.49M","-9.13%"
"11/06/2022","88.16","90.50","92.53","83.90","821.80K","-3.60%"
"10/30/2022","91.45","87.06","91.67","84.16","435.35K","5.59%"
"10/23/2022","86.61","84.05","88.45","81.61","405.44K","3.17%"
"10/16/2022","83.95","84.63","87.14","81.30","1.32M","-0.83%"
"10/09/2022","84.65","92.23","92.34","84.22","901.73K","-7.33%"
"10/02/2022","91.35","80.29","92.00","80.19","802.78K","16.04%"
"09/25/2022","78.72","78.75","81.99","75.70","609.15K","0.60%"
"09/18/2022","78.25","84.81","86.12","77.64","951.16K","-7.68%"
"09/11/2022","84.76","85.84","89.63","83.86","938.71K","-1.85%"
"09/04/2022","86.36","86.49","89.99","80.89","498.44K","-0.14%"
"08/28/2022","86.48","92.28","96.82","85.62","471.84K","-6.40%"
"08/21/2022","92.39","89.63","95.30","86.28","719.57K","2.16%"
"08/14/2022","90.44","91.30","91.69","85.37","1.02M","-1.12%"
"08/07/2022","91.46","87.52","94.17","86.33","713.45K","3.84%"
"07/31/2022","88.08","96.44","96.68","86.06","661.56K","-8.96%"
"07/24/2022","96.75","92.83","99.75","90.79","499.94K","4.67%"
"07/17/2022","92.43","94.34","100.99","91.77","1.15M","-2.26%"
"07/10/2022","94.57","101.33","102.00","88.23","965.67K","-6.86%"
"07/03/2022","101.53","105.60","108.28","92.18","634.98K","-3.66%"
"06/26/2022","105.39","104.37","111.14","101.94","554.71K","0.90%"
"06/19/2022","104.45","108.75","111.16","99.66","805.17K","-3.28%"
"06/12/2022","107.99","117.71","120.88","106.40","1.27M","-8.58%"
